Fraction,Profit,Realm,Week Num
horde,632256.9087633336,stormrage,12.0
horde,625084.1678814285,stormrage,13.0
horde,563175.478885,stormrage,14.0
horde,560080.3493204758,stormrage,15.0
horde,664262.1993628566,stormrage,16.0
horde,532885.1571209518,stormrage,17.0
horde,657040.5499997616,stormrage,18.0
horde,537858.1517083333,stormrage,19.0
horde,561172.6389466667,stormrage,20.0
horde,776461.0250916658,stormrage,21.0
horde,541854.3191690478,stormrage,22.0
horde,581805.2435559523,stormrage,23.0
horde,502988.171898333,stormrage,24.0
horde,441749.3894216666,stormrage,25.0
horde,626846.8545211902,stormrage,26.0
horde,715344.4558273813,stormrage,27.0
horde,904947.7157059533,stormrage,28.0
horde,756779.9027221428,stormrage,29.0
horde,627276.3538250003,stormrage,30.0
horde,796480.9644980952,stormrage,31.0
horde,741897.6910583335,stormrage,32.0
horde,901519.2884938094,stormrage,33.0
horde,734766.6520650001,stormrage,34.0
horde,703351.8167064289,stormrage,35.0
horde,577696.8632150004,stormrage,36.0
horde,1620364.9078502373,stormrage,37.0
horde,775777.0755283338,stormrage,38.0
horde,718703.5235240483,stormrage,39.0
horde,653720.1443728576,stormrage,40.0
horde,969764.1774011914,stormrage,41.0
horde,5958601.981975009,darkspear,11.0
horde,7601447.543794312,darkspear,12.0
horde,8258336.724579303,darkspear,13.0
horde,8321833.650860007,darkspear,14.0
horde,8813942.054899776,darkspear,15.0
horde,39432358.24348741,darkspear,16.0
horde,7806161.733425265,darkspear,17.0
horde,9824209.709047157,darkspear,18.0
horde,9710846.732674291,darkspear,19.0
horde,7688433.346933329,darkspear,20.0
horde,8439657.157806184,darkspear,21.0
horde,7918435.014145011,darkspear,22.0
horde,9182549.405932643,darkspear,23.0
horde,18884945.62129312,darkspear,24.0
horde,8907412.82896238,darkspear,25.0
horde,9356081.769178834,darkspear,26.0
horde,16794670.701107163,darkspear,27.0
horde,5071182.240900003,darkspear,28.0
horde,8829045.413498346,darkspear,29.0
horde,9357193.822208812,darkspear,30.0
horde,9021601.216667874,darkspear,31.0
horde,10666243.195463607,darkspear,32.0
horde,11637851.294435034,darkspear,33.0
